scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CC,baseline,none,task,215692,0.536431578361738,0.3251603127781581,14,215678,148,4990,0.0006862081436215099,0.023136342139671178,33.71621621621622
CC,baseline,none,social,184616,0.6500249165836114,0.4631320275040266,14,184602,88,3598,0.00047670122750566085,0.01949057973369736,40.88636363636363
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,215692,0.5369091111399589,0.3258200754412003,14,215678,148,2744,0.0006862081436215099,0.01272266990606367,18.54054054054054
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,184616,0.6513899120336265,0.4649131885658551,14,184602,88,1879,0.00047670122750566085,0.010178654619126553,21.352272727272727
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,215692,0.5372892828663094,0.32628270898766343,14,215678,148,2345,0.0006862081436215099,0.010872689843192167,15.844594594594595
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,184616,0.6521157429475235,0.4658605817038424,14,184602,88,1634,0.00047670122750566085,0.008851475065275565,18.568181818181817
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,215692,0.5381052612057935,0.3272111806466391,14,215678,148,1961,0.0006862081436215099,0.009092257902985006,13.25
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,184616,0.6532586558044806,0.46746118679095383,14,184602,88,1385,0.00047670122750566085,0.007502627273810685,15.738636363636363
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,215692,0.5383046195500992,0.3272212232255922,14,215678,148,1637,0.0006862081436215099,0.0075900184534352134,11.06081081081081
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,184616,0.655008233305889,0.47001688156743954,14,184602,88,1128,0.00047670122750566085,0.006110443007118016,12.818181818181818
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,215692,0.5416751664410363,0.3312154356955442,14,215678,148,1279,0.0006862081436215099,0.005930136592512913,8.641891891891891
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,184616,0.659119469601768,0.47567378715437963,14,184602,88,864,0.00047670122750566085,0.004680339324601034,9.818181818181818
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,215692,0.5428434990634794,0.3336578814377982,14,215678,148,933,0.0006862081436215099,0.004325893229722086,6.304054054054054
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,184616,0.6627540408198639,0.4808686398822991,14,184602,88,615,0.00047670122750566085,0.003331491533136152,6.988636363636363
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,215692,0.544503273185839,0.33568262498026513,14,215678,148,766,0.0006862081436215099,0.003551590797392409,5.175675675675675
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,184616,0.6656898643671187,0.4848449084706164,14,184602,88,502,0.00047670122750566085,0.0027193638205436563,5.704545454545454
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,215692,0.5371362869276561,0.3260632827930889,14,215678,148,2358,0.0006862081436215099,0.010932964882834595,15.932432432432432
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,184616,0.6520128266239112,0.4657483664587707,14,184602,88,1670,0.00047670122750566085,0.00904648920380061,18.977272727272727
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,215692,0.5380542625595757,0.3271365105836075,14,215678,148,1990,0.0006862081436215099,0.009226717606802734,13.445945945945946
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,184616,0.6531449061836461,0.4672814281793129,14,184602,88,1410,0.00047670122750566085,0.00763805375889752,16.022727272727273
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,215692,0.5382397121821857,0.3272042207137797,14,215678,148,1658,0.0006862081436215099,0.007687385825165293,11.202702702702704
CC,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,184616,0.6544665684447718,0.4691492075632434,14,184602,88,1186,0.00047670122750566085,0.006424632452519475,13.477272727272727
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,215692,0.5417678912523413,0.33108270992138583,14,215678,148,1317,0.0006862081436215099,0.006106325169929246,8.89864864864865
CC,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,184616,0.6586969710100966,0.4751768475587609,14,184602,88,891,0.00047670122750566085,0.004826599928494816,10.125
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,215692,0.5436084787567458,0.33455613061622186,14,215678,148,953,0.0006862081436215099,0.004418624059941209,6.4391891891891895
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,184616,0.6623477921740261,0.48024959088514807,14,184602,88,652,0.00047670122750566085,0.0035319227310646687,7.409090909090909
CC,hmm_uniform_start,mix=0.5;strength=8;alpha=1,task,215692,0.5458431467091964,0.33778280898605917,14,215678,148,673,0.0006862081436215099,0.0031203924368734875,4.547297297297297
CC,hmm_uniform_start,mix=0.5;strength=8;alpha=1,social,184616,0.6669194436018546,0.4864970158994553,14,184602,88,456,0.00047670122750566085,0.0024701790879838787,5.181818181818182
CC,hmm_uniform_start,mix=0.5;strength=12;alpha=1,task,215692,0.5453656139309756,0.3363857986222661,14,215678,148,535,0.0006862081436215099,0.002480549708361539,3.614864864864865
CC,hmm_uniform_start,mix=0.5;strength=12;alpha=1,social,184616,0.6686527711574295,0.4889484024390253,14,184602,88,345,0.00047670122750566085,0.0018688854941983294,3.9204545454545454
CC,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,215692,0.5376601821115294,0.32675452934957416,14,215678,148,2115,0.0006862081436215099,0.009806285295672252,14.29054054054054
CC,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,184616,0.6524353252155826,0.4663631043994511,14,184602,88,1510,0.00047670122750566085,0.008179759699244862,17.15909090909091
CC,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,215692,0.5380079001539232,0.32690569247627904,14,215678,148,1773,0.0006862081436215099,0.008220588098925249,11.97972972972973
CC,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,184616,0.6542119859600468,0.46886286903702545,14,184602,88,1260,0.00047670122750566085,0.006825494848376508,14.318181818181818
CC,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,215692,0.5405949223893329,0.32997231000630634,14,215678,148,1432,0.0006862081436215099,0.0066395274436892035,9.675675675675675
CC,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,184616,0.656210729297569,0.4715530330671122,14,184602,88,1003,0.00047670122750566085,0.0054333105816838385,11.397727272727273
CC,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,215692,0.5436919310869203,0.333928457062868,14,215678,148,1074,0.0006862081436215099,0.004979645582766903,7.256756756756757
CC,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,184616,0.6612807123976253,0.47887864498393656,14,184602,88,747,0.00047670122750566085,0.004046543374394643,8.488636363636363
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,215692,0.5445728167943178,0.3358310719965344,14,215678,148,760,0.0006862081436215099,0.003523771548326672,5.135135135135135
