domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,two_head,combined,task,65346,0.23514458514664255,0.6692835062589906,"{""task"": [0.0, 0.85, 0.15]}"
CR,two_head,combined,social,17295,0.08987743909618308,0.3536282162474704,"{""social"": [0.3, 0.55, 0.15]}"
