domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_shared,combined,task,65346,0.25561640151266074,0.6580662932696723,"{""all"": [0.15, 0.75, 0.1]}"
CR,prob_shared,combined,social,17295,-0.03535439177172305,0.04989881468632553,"{""all"": [0.15, 0.75, 0.1]}"
