role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,657774,0.8375981620864476,0.06750520189263569,0.0896769802427164,0.8733830204942808
expert,1,657774,0.7613486449853192,0.07812582634353193,0.09834400953371573,0.8375297559819328
