epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.40474937010708273,0.6924340491016888,0.09376526803800057,0.11517323896279609,0.7942749273892974,1,0.6924340491016888,0
2,0.2006348795651642,0.7244406302767863,0.09958367867565393,0.11923186331208666,0.8239999150490669,2,0.7244406302767863,0
3,0.1940473691796808,0.8364937378399103,0.062264924740251,0.08112403501557858,0.8417989749870538,3,0.8364937378399103,0
4,0.16246294097093206,0.8205597524898129,0.0685097467304239,0.08626097810770601,0.8395276844512748,3,0.8364937378399103,1
5,0.16077299869172626,0.8316239571246087,0.05814974582300603,0.07638355111217383,0.8377202300788887,3,0.8364937378399103,2
6,0.1415072584226961,0.7950860711457056,0.06864538968833174,0.0892581124726688,0.8281377011731351,3,0.8364937378399103,3
7,0.13757398322831874,0.8296147837944627,0.06197730542231546,0.07823177231608511,0.8511325816145247,3,0.8364937378399103,4
8,0.1246296569097752,0.8445433740968259,0.059705913887919855,0.07760392823319706,0.8468315646028677,8,0.8445433740968259,0
9,0.12897906763052866,0.8383038081621161,0.06394504293904582,0.08061074493446702,0.8600732741796497,8,0.8445433740968259,1
10,0.12585471266863116,0.8428388740768306,0.05940369524719966,0.07753096209797986,0.8430074369757211,8,0.8445433740968259,2
11,0.11337708530007486,0.814596385387202,0.062119475812539404,0.08358604965852635,0.8240243221706525,8,0.8445433740968259,3
12,0.11570163580317483,0.8117398089197806,0.0647935101498259,0.08392132522977468,0.827982296950559,8,0.8445433740968259,4
13,0.10785575028870921,0.8267799564537536,0.06189317484192549,0.07906753075408963,0.8395009316489168,8,0.8445433740968259,5
14,0.11015891748535969,0.8059325014596029,0.06895096265094457,0.08525978140984693,0.8535711622132376,8,0.8445433740968259,6
