domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.4900253938948284,0.7522572154378233,"{""task"": [0.6410160660743713, 0.30610358715057373, 0.05288037285208702]}"
CR,metadata_router,combined,social,17295,0.07338412316012406,0.20688060132986413,"{""social"": [0.7461594939231873, 0.1725309044122696, 0.08130951225757599]}"
