domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,uniform,combined,task,65346,0.29828039409416596,0.7299146083922505,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,uniform,combined,social,17295,0.028343939333929563,0.1482509395779127,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
