feature,n_folds,mean_ccc,median_ccc,min_ccc,max_ccc,fold_ccc
visual_videomae,6,0.49134435577478436,0.5225637950475813,0.27076020439911824,0.6688787992642886,008:0.3831 009:0.2708 010:0.5141 026:0.5802 027:0.6689 028:0.5310
visual_openpose,6,0.3475635847477628,0.3119822325338995,0.12369378997094925,0.6305655701719655,008:0.1837 009:0.1237 010:0.4403 026:0.6306 027:0.5823 028:0.1249
audio_egemaps,6,0.3179780892645283,0.18964127625552302,0.1169796056137252,0.753858245522565,008:0.1724 009:0.1170 010:0.2068 026:0.7539 027:0.5378 028:0.1199
audio_w2vbert2,6,0.2474403344145504,0.2322827564751142,0.10540458188867678,0.5289493255753511,008:0.1322 009:0.2319 010:0.2327 026:0.5289 027:0.2535 028:0.1054
visual_clip,6,0.17606825776559631,0.16561125625457257,0.06349081253807475,0.3574115214242483,008:0.0775 009:0.2093 010:0.2267 026:0.0635 027:0.3574 028:0.1219
visual_dino,6,0.15491643503231417,0.14953528910787112,0.03373948661830537,0.2825471539674598,008:0.1639 009:0.1961 010:0.1352 026:0.2825 027:0.0337 028:0.1181
visual_swin,6,0.1037628350836098,0.12680591025949364,-0.047998342219204515,0.16501298939654852,008:0.1430 009:-0.0480 010:0.1106 026:0.1650 027:0.1522 028:0.0997
text_xlm_roberta,6,0.0503923464188498,0.05305493079606777,0.002374286580947202,0.08416197807510827,008:0.0842 009:0.0754 010:0.0581 026:0.0343 027:0.0480 028:0.0024
