dataset,n_frames,ccc,mae,rmse,pearson
noxi,403756,0.023131726855301182,0.3886458800714621,0.5092040956142805,0.05846294640025825
noxij,247800,-0.012578177175752889,0.6017058701817565,0.725351080122406,-0.05536359196887185
