domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,uniform,combined,task,65346,0.2446021142258767,0.695819177914486,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,uniform,combined,social,17295,0.032566972126231296,0.10309337958947673,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
