epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.440263774514572,0.7077728894244113,0.10389972493281142,0.1273227547207158,0.8295526856220962,1,0.7077728894244113,0
2,0.20321390808189177,0.8359397132107441,0.06063092438685965,0.0775941831972082,0.8400369931612164,2,0.8359397132107441,0
3,0.16991762214319833,0.7852109388285293,0.07726827735828552,0.09538402061579777,0.8452962065271697,2,0.8359397132107441,1
4,0.14698716260049036,0.8353636596308446,0.06436374061222656,0.08058198917378474,0.8530650683816637,2,0.8359397132107441,2
5,0.13631595283466447,0.7950505563753119,0.07373149392159227,0.08976168649182363,0.8439070133690257,2,0.8359397132107441,3
6,0.12357178769515226,0.7703876612013171,0.07261071029960153,0.09715758301744536,0.8186330626232617,2,0.8359397132107441,4
7,0.11839853035618893,0.8504282473510383,0.05461803932245491,0.07200755664941548,0.8554749653487357,7,0.8504282473510383,0
8,0.11792168815307856,0.8218881943098798,0.06884097301270048,0.0870739339187725,0.8362928787569124,7,0.8504282473510383,1
9,0.10784290109682233,0.7991104050622454,0.0739702735602253,0.08922355530680601,0.8392523436924482,7,0.8504282473510383,2
10,0.1101072329712512,0.817380942263981,0.06666115481200977,0.08311637057801059,0.846440970336961,7,0.8504282473510383,3
11,0.10131501497519801,0.8191232073764398,0.06695642175040686,0.08585138286701151,0.8233754422153876,7,0.8504282473510383,4
12,0.0993316775205367,0.8306837587917804,0.061119554835209776,0.07810277900514448,0.8595187582272314,7,0.8504282473510383,5
13,0.09269335781892639,0.864244546142661,0.05554431154482577,0.07268366149407406,0.864708804863219,13,0.864244546142661,0
14,0.09315250678495927,0.8142009273088151,0.06277422711792452,0.08009428844240558,0.8323215942325807,13,0.864244546142661,1
15,0.08991262681058208,0.821841509641628,0.0682486106517119,0.08575888733326915,0.8364279486331416,13,0.864244546142661,2
16,0.0829545386532631,0.8242305342434374,0.061602062912796095,0.08056597791033826,0.8261028812571746,13,0.864244546142661,3
17,0.08421155389947203,0.8058124164658917,0.06292081384591644,0.0814677868929943,0.8108406355022122,13,0.864244546142661,4
18,0.07836533975451718,0.8245630563782865,0.06380725892155678,0.08105434610572122,0.8382031796935827,13,0.864244546142661,5
19,0.07741929277730959,0.8333939171483917,0.06060688230102895,0.07815750150252926,0.8429781586936276,13,0.864244546142661,6
