epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.46996163481081543,0.7905019102601171,0.07171728457887556,0.095211582961096,0.8258996815707459,1,0.7905019102601171,0
2,0.21849623126296042,0.8239367164890691,0.06118542449118863,0.0818495158551217,0.8325792672437328,2,0.8239367164890691,0
3,0.1737577532152397,0.787624857638924,0.07389744783151092,0.09224558158694293,0.8101892890555679,2,0.8239367164890691,1
4,0.15701723715354657,0.7842000010158242,0.07439856070097042,0.09070892405151139,0.8361094405563745,2,0.8239367164890691,2
5,0.15152066385484414,0.8399841728811034,0.06522053702048704,0.08405338571620881,0.8501340814835259,5,0.8399841728811034,0
6,0.13764267132200045,0.8601328342865081,0.05823899197003883,0.07431807953683522,0.8632826279883976,6,0.8601328342865081,0
7,0.13177502342152372,0.779262688479295,0.07666630179779337,0.0942238689725421,0.8441384174543678,6,0.8601328342865081,1
8,0.11982703844207955,0.8483120690639134,0.061463998989501244,0.07897923364586341,0.8568135014262694,6,0.8601328342865081,2
9,0.12463005657853751,0.7781917586134262,0.06518455771024302,0.08378480859093407,0.8175394058372842,6,0.8601328342865081,3
10,0.1056917328445889,0.8444088651013322,0.05913962003785206,0.07760760737036354,0.8447362054186561,6,0.8601328342865081,4
11,0.10813510511362441,0.8272541278850079,0.062119522812106316,0.07918448837329652,0.83457366562315,6,0.8601328342865081,5
12,0.1011726689936599,0.8457213424457466,0.056851742325102095,0.07393631572132445,0.8531058459980206,6,0.8601328342865081,6
