role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,288568,0.6414499779700354,0.05949117180594031,0.07490922930910629,0.7379742861356311
expert,1,288568,0.8237834361803461,0.056986812134137345,0.07372218971518996,0.8484571074580801
