domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.3777191455103369,0.7831542864138585,"{""task"": [0.36854708194732666, 0.5877801179885864, 0.043672699481248856]}"
CR,metadata_router,combined,social,17295,0.06976640909160699,0.2969066204105233,"{""social"": [0.45159366726875305, 0.4324871003627777, 0.11591925472021103]}"
