domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_uniform,combined,task,65346,0.42954393307017885,0.7126832552872402,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,prob_uniform,combined,social,17295,0.03974021651207788,0.12032379300375831,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
