domain,mode,feature,head,n_frames,kappa,accuracy,mean_weights
CC,temporal_attention_router,combined,task,215692,0.2996064793139879,0.5941249559557147,"{""audio_w2vbert2"": 0.20052841305732727, ""text_xlm_roberta"": 0.16934239864349365, ""visual_videomae"": 0.6301301121711731}"
CC,temporal_attention_router,combined,social,184616,0.31219640498812573,0.5881180396065346,"{""audio_w2vbert2"": 0.19528837502002716, ""text_xlm_roberta"": 0.10275213420391083, ""visual_videomae"": 0.7019609212875366}"
