epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.37021237278162544,0.8177727358886383,0.09812025053947457,0.12227665639332681,0.8587341943929194,1,0.8177727358886383,0
2,0.18219842850717147,0.8834268723498815,0.06797386669736104,0.08594806695240594,0.8923232451614411,2,0.8834268723498815,0
3,0.14504793052797887,0.9012771016878471,0.061142954876415405,0.08103103029001323,0.9019101058499073,3,0.9012771016878471,0
4,0.12476958201002719,0.8955958067008726,0.06542588459151322,0.08380263045133676,0.8986497202712979,3,0.9012771016878471,1
5,0.11693364737638787,0.8995517056677438,0.06160906217077449,0.08062757451038596,0.8998228188042713,3,0.9012771016878471,2
6,0.11120502650737762,0.8534603261704068,0.07414375916021242,0.097522280380608,0.8778294497036211,3,0.9012771016878471,3
7,0.10370236479524356,0.9088488729675718,0.055670529954400055,0.07334342674832206,0.9130429188568994,7,0.9088488729675718,0
8,0.09982080546332829,0.9104002858980812,0.0568238934873724,0.0745446447843471,0.916183018218589,8,0.9104002858980812,0
9,0.08796262151714582,0.8950695918060444,0.06329051370179373,0.08232242541538594,0.9044803384266381,8,0.9104002858980812,1
10,0.08917738141408607,0.8950158107222859,0.06246046376847351,0.08031423071013598,0.9120819862365761,8,0.9104002858980812,2
11,0.08304324501485967,0.9082848891832899,0.05674626590470266,0.07452019036053094,0.9132848096991081,8,0.9104002858980812,3
12,0.07917902941134439,0.8916327450264159,0.06451736765282018,0.08286477692269902,0.904350918526485,8,0.9104002858980812,4
13,0.07952755567298006,0.9050403209826083,0.05830344961234206,0.07702304593887054,0.9079639794723006,8,0.9104002858980812,5
14,0.0736892500252866,0.8937068413295653,0.06178226708562489,0.08019820187056428,0.8957792157824038,8,0.9104002858980812,6
