domain,role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CR,purple,task,384143,0.38997511243201594,0.5058457322915043,0.77718452525096,0.7818416579242626
CR,purple,social,384143,0.6869960746969436,0.4124132958730331,0.8550545553221736,0.8472730207240533
CR,yellow,task,0,nan,nan,nan,nan
CR,yellow,social,0,nan,nan,nan,nan
