domain,mode,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,prior_val_oracle,social,1,3077,13902,0.22133505970363976,1.0,0.36244772954826554,3077,10825,0
CR,prior_val_oracle,social,2,11812,3050,0.6547540983606558,0.16906535726379954,0.26873906607455256,1997,1053,9815
CR,prior_val_oracle,social,3,1452,246,0.2967479674796748,0.05027548209366391,0.08598351001177856,73,173,1379
CR,prior_val_oracle,social,4,0,0,nan,nan,nan,0,0,0
CR,prior_val_oracle+hysteresis_1,task,0,47407,42859,0.915000349984834,0.8272196089185141,0.8688985886158686,39216,3643,8191
CR,prior_val_oracle+hysteresis_1,task,1,4384,1027,0.0,0.0,nan,0,1027,4384
CR,prior_val_oracle+hysteresis_1,task,2,1298,1804,0.6164079822616408,0.8567026194144838,0.7169568020631851,1112,692,186
CR,prior_val_oracle+hysteresis_1,task,3,12257,19656,0.6100427350427351,0.9782981153626499,0.7514805878482124,11991,7665,266
CR,prior_val_oracle+hysteresis_1,social,0,954,0,nan,0.0,nan,0,0,954
CR,prior_val_oracle+hysteresis_1,social,1,3077,14701,0.20930548942248828,1.0,0.3461581730228372,3077,11624,0
CR,prior_val_oracle+hysteresis_1,social,2,11812,2374,0.5235888795282224,0.10523196749068743,0.1752431975186804,1243,1131,10569
CR,prior_val_oracle+hysteresis_1,social,3,1452,220,0.39090909090909093,0.05922865013774105,0.1028708133971292,86,134,1366
CR,prior_val_oracle+hysteresis_1,social,4,0,0,nan,nan,nan,0,0,0
CR,bias_ce,task,0,47407,50043,0.9022840357292728,0.9524542789039593,0.9266906105695227,45153,4890,2254
CR,bias_ce,task,1,4384,1,0.0,0.0,nan,0,1,4384
CR,bias_ce,task,2,1298,2380,0.4869747899159664,0.8929121725731896,0.6302338227297445,1159,1221,139
CR,bias_ce,task,3,12257,12922,0.8205386163132642,0.8650567022925675,0.8422097779895945,10603,2319,1654
CR,bias_ce,social,0,954,14772,0.059301380991064176,0.9182389937106918,0.11140785959557421,876,13896,78
CR,bias_ce,social,1,3077,1476,0.823170731707317,0.3948651283717907,0.5337140347023941,1215,261,1862
CR,bias_ce,social,2,11812,1047,0.9235912129894938,0.08186589908567558,0.1504004977058869,967,80,10845
CR,bias_ce,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,bias_ce,social,4,0,0,nan,nan,nan,0,0,0
CR,bias_ce+hysteresis_1,task,0,47407,50715,0.902809819580006,0.9658067374016496,0.9332463667679012,45786,4929,1621
CR,bias_ce+hysteresis_1,task,1,4384,0,nan,0.0,nan,0,0,4384
CR,bias_ce+hysteresis_1,task,2,1298,2164,0.5919593345656192,0.9869029275808937,0.7400346620450607,1281,883,17
CR,bias_ce+hysteresis_1,task,3,12257,12467,0.872784150156413,0.8877376193195725,0.8801973790648764,10881,1586,1376
CR,bias_ce+hysteresis_1,social,0,954,15521,0.05540880097931834,0.9014675052410901,0.10440060698027313,860,14661,94
CR,bias_ce+hysteresis_1,social,1,3077,1275,0.7607843137254902,0.3152421189470263,0.44577205882352944,970,305,2107
CR,bias_ce+hysteresis_1,social,2,11812,499,1.0,0.042245174398916355,0.08106571358947283,499,0,11313
CR,bias_ce+hysteresis_1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,bias_ce+hysteresis_1,social,4,0,0,nan,nan,nan,0,0,0
CR,bias_balanced_ce,task,0,47407,32017,0.9056751100977606,0.6116607252093572,0.7301823126510879,28997,3020,18410
CR,bias_balanced_ce,task,1,4384,2819,0.09187655196878326,0.05907846715328467,0.07191448007774538,259,2560,4125
CR,bias_balanced_ce,task,2,1298,15040,0.0863031914893617,1.0,0.15889337740237483,1298,13742,0
CR,bias_balanced_ce,task,3,12257,15470,0.5927601809954751,0.7481439177612793,0.6614491290078263,9170,6300,3087
CR,bias_balanced_ce,social,0,954,9818,0.059075168058667755,0.6079664570230608,0.10768659487560343,580,9238,374
CR,bias_balanced_ce,social,1,3077,6139,0.49519465711027855,0.9879753006174845,0.6597222222222222,3040,3099,37
CR,bias_balanced_ce,social,2,11812,1338,0.8602391629297459,0.09744327802235016,0.17505703422053231,1151,187,10661
CR,bias_balanced_ce,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,bias_balanced_ce,social,4,0,0,nan,nan,nan,0,0,0
CR,bias_balanced_ce+hysteresis_1,task,0,47407,34295,0.9111240705642222,0.659122070580294,0.7649017159922645,31247,3048,16160
CR,bias_balanced_ce+hysteresis_1,task,1,4384,2102,0.06612749762131304,0.03170620437956204,0.04286154794942954,139,1963,4245
CR,bias_balanced_ce+hysteresis_1,task,2,1298,13677,0.09490385318417782,1.0,0.17335559265442402,1298,12379,0
CR,bias_balanced_ce+hysteresis_1,task,3,12257,15272,0.5938973284442116,0.7399853145141552,0.65894147989393,9070,6202,3187
CR,bias_balanced_ce+hysteresis_1,social,0,954,9928,0.05338436744560838,0.5555555555555556,0.0974085646020952,530,9398,424
CR,bias_balanced_ce+hysteresis_1,social,1,3077,5788,0.5316171389080857,1.0,0.6941906373378455,3077,2711,0
CR,bias_balanced_ce+hysteresis_1,social,2,11812,1579,0.8784040531982267,0.11742295970199797,0.2071540586961392,1387,192,10425
CR,bias_balanced_ce+hysteresis_1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,bias_balanced_ce+hysteresis_1,social,4,0,0,nan,nan,nan,0,0,0
