domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CC,metadata_router,combined,task,215692,0.360964244475062,0.6153079390983439,"{""task"": [0.5209898352622986, 0.13109295070171356, 0.3479172885417938]}"
CC,metadata_router,combined,social,184616,0.2958944341364135,0.5602764657451141,"{""social"": [0.5369659066200256, 0.033620450645685196, 0.42941367626190186]}"
