domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,shared,combined,task,65346,0.30876510000104507,0.6420744957610259,"{""all"": [0.2, 0.65, 0.15]}"
CR,shared,combined,social,17295,-0.001967486482921272,0.12986412257878,"{""all"": [0.2, 0.65, 0.15]}"
