role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
purple,task,384143,0.3556080244335874,0.5150007487984198,0.7256621103315063,0.6970294916216097
purple,social,384143,0.27765823207522355,0.2956176745314402,0.7004044009411334,0.7271797221347259
yellow,task,0,nan,nan,nan,nan
yellow,social,0,nan,nan,nan,nan
