domain,mode,feature,head,n_frames,kappa,accuracy,mean_weights
CR,temporal_attention_router_smoke,combined,task,65346,0.44644946172816014,0.7167998041196094,"{""audio_w2vbert2"": 0.2694633901119232, ""text_xlm_roberta"": 0.41790133714675903, ""visual_videomae"": 0.31263551115989685}"
CR,temporal_attention_router_smoke,combined,social,17295,0.10335826118261772,0.23029777392309916,"{""audio_w2vbert2"": 0.5046494007110596, ""text_xlm_roberta"": 0.13942745327949524, ""visual_videomae"": 0.3559231162071228}"
