epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.36894432677706673,0.8571325777758961,0.07716569108592888,0.09776717092260813,0.8823750486852721,1,0.8571325777758961,0
2,0.1734572180838727,0.8786394281938821,0.07204067368917927,0.09332201977310786,0.9047296482594251,2,0.8786394281938821,0
3,0.15609365668314606,0.8689016221503064,0.07456805265042749,0.09375257003520374,0.8993313057584832,2,0.8786394281938821,1
4,0.13735242732870045,0.8528347956302318,0.07587808484669353,0.09386399228929858,0.8996826415345498,2,0.8786394281938821,2
5,0.12779244602616155,0.9057185733639249,0.06259381712569055,0.08130417062832176,0.9093581961087076,5,0.9057185733639249,0
6,0.11644809226046747,0.867554910080629,0.07703289490784135,0.09843927819535674,0.8811666555926052,5,0.9057185733639249,1
7,0.11478467641481713,0.8824711058186508,0.06615262509580565,0.08342216110337167,0.9028971353270314,5,0.9057185733639249,2
8,0.11049332047131524,0.8555254283620259,0.07871345143174444,0.09838047072402063,0.8990523998054938,5,0.9057185733639249,3
9,0.10189625754285214,0.9152487287985424,0.05518260178394826,0.07376402116586303,0.9154105517543905,9,0.9152487287985424,0
10,0.09714898989716572,0.8929616820088837,0.06233416425349519,0.08149529375979675,0.9080629839901962,9,0.9152487287985424,1
11,0.09189856208082456,0.8916993814483379,0.063308663492082,0.08130555393740696,0.9060338735009656,9,0.9152487287985424,2
12,0.0909723229150274,0.9123096913418335,0.05783154785287098,0.07553508645797295,0.9132142364710926,9,0.9152487287985424,3
13,0.08593311349847424,0.9070194791044975,0.0603384248750597,0.07817449134802747,0.9109776868203509,9,0.9152487287985424,4
14,0.08634195865979835,0.9090633241419799,0.05530072532460882,0.07543201437146355,0.9126692968194736,9,0.9152487287985424,5
15,0.0814192097133665,0.9082967933603936,0.05675457584441331,0.07539069582889832,0.9101924007051877,9,0.9152487287985424,6
