dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.84475554160019,0.05882782153215005,0.07551437389612065,0.8450397837477841
noxij,400748,0.7198075800818059,0.04993294977171566,0.07116765451886156,0.7329511344433653
