corpus,branch,source_mode,smoother,param,group,n_frames,ccc,mae,rmse,pearson,novice_n_frames,novice_ccc,novice_mae,novice_rmse,novice_pearson,expert_n_frames,expert_ccc,expert_mae,expert_rmse,expert_pearson
noxi,metadata_head,shared,center_mean,25,overall,577136,0.8584767881334694,0.05549368078200929,0.07141080095902802,0.8593854687305232,288568,0.6773934863625847,0.05454995226030746,0.07042052782698198,0.6815099013395903,288568,0.839493549159063,0.05643740930371112,0.07238752826135927,0.8430280636233795
noxi,metadata_head,shared,center_median,25,overall,577136,0.8581594564725862,0.05557397172809163,0.07158120943476227,0.8589630116776125,288568,0.677608255113746,0.054616585617431976,0.07059209987517254,0.6813393961618357,288568,0.8391059185923911,0.05653135783875127,0.07255683650422107,0.8424749966933834
noxi,metadata_head,shared,center_mean,12,overall,577136,0.8578567778955363,0.055681861356313436,0.07172146703317347,0.8586006349715424,288568,0.6775892762927486,0.054719988133149745,0.07076646255760811,0.6810156577901008,288568,0.8390065144415269,0.05664373457947714,0.07266392119796335,0.8421681196397979
noxi,metadata_head,shared,center_median,50,overall,577136,0.857743116510179,0.055561837881894234,0.07148571185363035,0.858769244345895,288568,0.6738700171260611,0.05466613459314041,0.07046722888643271,0.6787470320779297,288568,0.8382607367592437,0.05645754117064805,0.0724898865463841,0.8422626578310998
noxi,metadata_head,role,center_mean,25,overall,577136,0.8577091594323698,0.055720389460984815,0.07173452156008062,0.8586334060346101,288568,0.6794190575147564,0.054271745246945585,0.0703453395659936,0.6833381783986707,288568,0.8392360932042603,0.05716903367502404,0.07309730753080029,0.8413253735059151
noxi,metadata_head,shared,center_median,12,overall,577136,0.8574880958352789,0.055770624185702104,0.07185211748368048,0.8581904229094116,288568,0.6771112850178178,0.05480770945575307,0.07090147613271196,0.6803764704498015,288568,0.8386096019006175,0.05673353891565114,0.07279034452439226,0.8417008663734372
noxi,metadata_head,role,center_median,25,overall,577136,0.8573695558396282,0.055800221130828435,0.07191292428169738,0.8581886502328118,288568,0.6796224817878089,0.05433416747515891,0.07052543148984391,0.6831581220110077,288568,0.838830544016039,0.05726627478649796,0.07327414872014286,0.8407706846923029
noxi,metadata_head,shared,center_mean,50,overall,577136,0.8570434048440403,0.055613610483687494,0.07145663602991187,0.8583415602779227,288568,0.6707589828403082,0.05468903650827541,0.07040766136908712,0.6764896259788933,288568,0.8374681313540911,0.05653818445909958,0.07249043306505042,0.8418547114475999
noxi,metadata_head,role,center_mean,12,overall,577136,0.8570257647064518,0.05592566467716741,0.07206767930221679,0.8577938020264566,288568,0.6796416790214238,0.054446031308172355,0.0706951454270038,0.6828933962049766,288568,0.8386128402466351,0.05740529804616247,0.07341455722858455,0.8404078126433702
noxi,metadata_head,shared,center_mean,5,overall,577136,0.8570248019497783,0.05588393266309157,0.07200265783606,0.8576983651717383,288568,0.6764678748634387,0.05491071799379644,0.07105878372019417,0.67960477460052,288568,0.8381497640190418,0.05685714733238669,0.07293431789713355,0.8411448364114174
