domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.5488308411437978,0.7858017323172038,"{""task"": [0.7333406805992126, 0.2358047366142273, 0.030854633077979088]}"
CR,metadata_router,combined,social,17295,0.137173814142215,0.2505926568372362,"{""social"": [0.5298053026199341, 0.12951359152793884, 0.3406812250614166]}"
