predicted_role,source,source_session_phase_decile,attention_sum,n_observations,mean_attention
expert,partner,0,19.59052731632255,5250,0.003731529012632867
expert,partner,1,5.1904050395824015,1284,0.004042371526154519
expert,partner,2,11.442736264318228,3216,0.003558064758805419
expert,partner,3,9.643547309096903,2568,0.003755275431891317
expert,partner,4,10.071749330498278,2682,0.0037553129494773594
expert,partner,5,6.777532361913472,1875,0.0036146839263538517
expert,partner,6,10.880966960452497,2985,0.0036452150621281397
expert,partner,7,9.765749699436128,2640,0.003699147613422776
expert,partner,8,5.588582548312843,1500,0.0037257216988752285
expert,partner,9,32.26612472732086,8625,0.0037409999683850267
expert,self,0,22.4094731034711,5250,0.0042684710673278285
expert,self,1,5.869888665154576,1284,0.004571564380961508
expert,self,2,13.496969886589795,3216,0.004196818994586379
expert,self,3,11.356452709529549,2568,0.004422294668819918
expert,self,4,10.92825080966577,2682,0.004074664731419004
expert,self,5,8.222468044608831,1875,0.004385316290458043
expert,self,6,13.119032878894359,2985,0.004394985889076837
expert,self,7,11.234250474721193,2640,0.004255397907091361
expert,self,8,6.41141736600548,1500,0.0042742782440036535
expert,self,9,36.733875239500776,8625,0.004259000027768206
novice,partner,0,16.17570105358027,5250,0.0030810859149676705
novice,partner,1,4.549786664545536,1284,0.003543447558057271
novice,partner,2,11.22406601998955,3216,0.003490070279847497
novice,partner,3,9.017138755414635,2568,0.0035113468673733
novice,partner,4,10.294917843537405,2682,0.0038385226858827014
novice,partner,5,6.520509337540716,1875,0.0034776049800217153
novice,partner,6,10.845474623842165,2985,0.003633324832107928
novice,partner,7,9.72659026645124,2640,0.003684314494867894
novice,partner,8,4.583854055032134,1500,0.003055902703354756
novice,partner,9,30.72135531762615,8625,0.003561896268710278
novice,self,0,25.82429867424071,5250,0.004918914033188706
novice,self,1,6.501714467070997,1284,0.005063640550678346
novice,self,2,13.724432586692274,3216,0.004267547446110782
novice,self,3,11.982861288357526,2568,0.004666223243129878
novice,self,4,10.705082025378942,2682,0.003991454893877309
novice,self,5,8.479490594472736,1875,0.004522394983718793
novice,self,6,13.154525506775826,2985,0.004406876216675319
novice,self,7,11.273409706656821,2640,0.00427023094949122
novice,self,8,7.416146093979478,1500,0.004944097395986319
novice,self,9,38.27864380009123,8625,0.004438103628996085
