predicted_role,source,attention_sum,n_observations,mean_attention
expert,partner,121.21792155725416,32625,0.003715491848498212
expert,self,139.78207917814143,32625,0.0042845081740426495
novice,partner,113.6593939375598,32625,0.0034838128409980015
novice,self,147.34060474371654,32625,0.00451618711858135
