session_id,n_frames,class3_support,predicted_class3,precision,recall,tp,fp,fn,mean_score_true3,mean_score_not3
018,8954,436,5659,0.05902102845025623,0.7660550458715596,334,5325,102,3.98847451483228e-05,0.0051238887553522044
019,6508,0,6383,0.0,nan,0,6383,0,nan,0.01359291013532106
026,345,0,67,0.0,nan,0,67,0,nan,1.720935314620307e-05
059,1488,1016,1466,0.6807639836289222,0.9822834645669292,998,468,18,0.0006155862552623029,0.00011575074894692635
