epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,1.9597597122192383,0.06398120365211662,1,0.06398120365211662,0,32.11602044099709,13.611085854005069,45.73958064499311
2,1.4679527282714844,-0.01147944914224553,1,0.06398120365211662,1,33.787759130005725,13.647229707043152,47.43522592599038
3,0.6569949984550476,0.09005329989594497,3,0.09005329989594497,0,32.00646705599502,13.450133070989978,45.46645012800582
4,0.9236935973167419,-0.005110428906190797,3,0.09005329989594497,1,32.42435510200448,13.348809794988483,45.773461547039915
5,0.5603959560394287,0.10912888284528457,5,0.10912888284528457,0,30.023521284980234,13.81776347802952,43.852331034024246
6,0.4122738838195801,0.14128648014128967,6,0.14128648014128967,0,29.976324200979434,13.21562474797247,43.2016327700112
7,0.44415169954299927,-0.04542612494009926,6,0.14128648014128967,1,30.30210824101232,13.405285438988358,43.70768334699096
8,0.4432967007160187,0.014310335538138722,6,0.14128648014128967,2,32.28990336100105,13.333131766994484,45.623266879003495
9,0.3623847961425781,0.018085783665809325,6,0.14128648014128967,3,31.90227556100581,13.200172878045123,45.10265729500679
10,0.3729146718978882,-0.028433989274310827,6,0.14128648014128967,4,31.419294786988758,13.171644611982629,44.59120691404678
11,0.3807561695575714,0.0326515461522185,6,0.14128648014128967,5,32.37793401797535,13.158543364028446,45.53667350800242
12,0.32427456974983215,-0.032123242036715224,6,0.14128648014128967,6,31.757399191032164,13.282824554014951,45.04041682701791
