epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.245539665222168,0.09052152587209657,1,0.09052152587209657,0,16.408342420007102,7.603017615998397,24.02582684799563
2,1.4581173658370972,0.10006229792959105,2,0.10006229792959105,0,16.50559857999906,7.626296425005421,24.140301356004784
3,1.179816484451294,0.448433838674936,3,0.448433838674936,0,16.60272715499741,7.6095114029885735,24.221266148000723
4,1.266607403755188,0.09331132241492256,3,0.448433838674936,1,16.6140753919899,7.828651185001945,24.442874077009037
5,0.952506959438324,0.06933238050605257,3,0.448433838674936,2,15.62534332901123,8.109870532993227,23.73535814799834
6,0.9409686923027039,0.2825850375924954,3,0.448433838674936,3,15.540963267005282,8.101335780986119,23.64244486601092
7,1.0102155208587646,0.4787324617267274,7,0.4787324617267274,0,15.419053338002414,8.244727217999753,23.673190428991802
8,0.8103028535842896,0.17643880755898136,7,0.4787324617267274,1,16.50492597100674,8.129678288998548,24.63474662299268
9,0.8502815961837769,0.1414292678008105,7,0.4787324617267274,2,16.597710701986216,9.024705810006708,25.622572565975133
10,1.02530837059021,0.1506146245505893,7,0.4787324617267274,3,16.320743106974987,9.477386141981697,25.798274205008056
11,0.9432381391525269,0.10757587385042881,7,0.4787324617267274,4,16.97292671201285,9.081995771994116,26.055074880976463
12,0.7107894420623779,0.4323323600037718,7,0.4787324617267274,5,16.48910904600052,8.498400869983016,24.987676476011984
13,0.6723400354385376,0.16456953981874956,7,0.4787324617267274,6,15.884794709010748,9.052681746979943,24.937641974014696
