epoch,train_loss,val_organizer_score,best_epoch,best_val_organizer_score,stale_epochs,train_seconds,val_seconds,epoch_seconds
1,2.088083028793335,0.08833719902704934,1,0.08833719902704934,0,23.04509905798477,10.060376210982213,33.11558315300499
2,1.3845906257629395,0.27616515821971743,2,0.27616515821971743,0,23.80703775800066,10.027986688015517,33.84424245002447
3,1.2070585489273071,0.18519541956386948,2,0.27616515821971743,1,24.18848403301672,10.06701472599525,34.255664676980814
4,1.0288121700286865,0.12625253641050185,2,0.27616515821971743,2,24.05907194199972,10.00772232201416,34.0669803119963
5,0.9895820617675781,0.08208461141402215,2,0.27616515821971743,3,22.22491495500435,10.021302982990164,32.24639137700433
6,0.8994724154472351,0.1567643113743675,2,0.27616515821971743,4,22.79920072798268,10.062581945996499,32.86193993900088
7,0.7915326952934265,0.11915159903540043,2,0.27616515821971743,5,22.823315401008585,10.182586288021412,33.00606300999061
8,0.8141851425170898,0.44407726898313227,8,0.44407726898313227,0,24.405317185999593,10.175545268983115,34.59116179699777
9,0.8898776769638062,0.1288424694795673,8,0.44407726898313227,1,24.106077103991993,10.182610828982433,34.28883608599426
10,1.0773382186889648,0.21936539344867853,8,0.44407726898313227,2,24.18154684099136,10.153116407018388,34.33480537100695
11,0.8645594716072083,0.11237102537315731,8,0.44407726898313227,3,24.979703024000628,10.210272147989599,35.19015566201415
12,0.7513766288757324,0.3731326248536698,8,0.44407726898313227,4,24.151083589997143,10.035847256018315,34.1870752919931
13,0.6837714910507202,0.06851979495806847,8,0.44407726898313227,5,22.95001776999561,10.01785617301357,32.968048704002285
14,0.783094584941864,0.19530499158644948,8,0.44407726898313227,6,23.45487051899545,10.01386104701669,33.46889515098883
