domain,mode,feature,head,n_frames,kappa,accuracy
CR,best_single,visual_videomae,task,65346,0.3266524245537919,0.5917577204419552
CR,best_single,visual_videomae,social,17295,0.3340306972109636,0.56877710320902
CR,best_single,audio_w2vbert2,task,65346,0.16555987320644672,0.4206684418327059
CR,best_single,audio_w2vbert2,social,17295,0.10455869705022071,0.28216247470367156
CR,best_single,text_xlm_roberta,task,65346,0.22280756326516887,0.6974872218651486
CR,best_single,text_xlm_roberta,social,17295,-0.025368462746459854,0.04775946805435097
