role,n_frames,ccc,mae,rmse,pearson
expert,325778,0.11546230440469467,0.11958991020548122,0.14800349832469376,0.5799702094789976
novice,325778,0.1266951234664721,0.1565817146721982,0.18040286496706115,0.5260705287411673
