domain,mode,param,head,class,support,predicted,precision,recall,f1,true_positive,false_positive,false_negative
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,1,4384,880,0.16477272727272727,0.03307481751824817,0.055091185410334344,145,735,4239
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,2,1298,3981,0.3260487314745039,1.0,0.4917598029929911,1298,2683,0
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,3,12257,16413,0.6687381953329677,0.8954882924043404,0.765678409487269,10976,5437,1281
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,0,954,10742,0.05399366970768944,0.6079664570230608,0.09917920656634747,580,10162,374
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,1,3077,5843,0.5240458668492213,0.9951251218719532,0.6865470852017936,3062,2781,15
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,2,11812,710,0.9352112676056338,0.05621401964104301,0.10605334611084491,664,46,11148
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,0,47407,43353,0.9155537102391992,0.8372603202058768,0.8746584398413397,39692,3661,7715
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,1,4384,1058,0.16068052930056712,0.038777372262773724,0.06247703050349136,170,888,4214
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,2,1298,4118,0.30961631860126276,0.9822804314329738,0.4708271787296898,1275,2843,23
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,3,12257,16817,0.6469643812808468,0.8876560332871013,0.7484350278599436,10880,5937,1377
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,0,954,10478,0.056308455812177895,0.6184486373165619,0.10321903428971307,590,9888,364
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,1,3077,5937,0.5103587670540677,0.9847253818654533,0.6722875526958064,3030,2907,47
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,2,11812,880,0.8818181818181818,0.0656959024720623,0.12228175228490389,776,104,11036
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,3,1452,0,nan,0.0,nan,0,0,1452
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,4,0,0,nan,nan,nan,0,0,0
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,0,47407,43447,0.9158745137754045,0.839369713333474,0.8759548286261474,39792,3655,7615
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,1,4384,1050,0.16952380952380952,0.0406021897810219,0.06551343393448657,178,872,4206
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,2,1298,4101,0.3108997805413314,0.9822804314329738,0.4723096869790702,1275,2826,23
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,3,12257,16748,0.6489133030809648,0.8866770008974464,0.7493880365454231,10868,5880,1389
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,0,954,10519,0.05608898184238045,0.6184486373165619,0.10285016996426391,590,9929,364
