epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.7087885007566336,0.32437522235304245,0.10537064284029635,0.13399632512795945,0.3439554345278192,1,0.32437522235304245,0
2,0.4701514945549219,0.3478251189582379,0.11709426986428162,0.1430294137064475,0.47978345809956696,2,0.3478251189582379,0
3,0.38698664936078647,0.3436156918867858,0.10299359387070732,0.12519540356355416,0.45114125655440346,2,0.3478251189582379,1
4,0.3480762900138388,0.4537719947004517,0.09271263518583567,0.12384504616109401,0.4833395350230563,4,0.4537719947004517,0
5,0.3367587490146663,0.47076261219670407,0.07848104459060316,0.10454000212633453,0.49268595261589426,5,0.47076261219670407,0
6,0.32507025384578575,0.41806504837614844,0.11906915403001131,0.15643308551843924,0.5340789006569209,5,0.47076261219670407,1
7,0.29934116245127046,0.4862661053295728,0.07626792067173273,0.10518446367141487,0.4898073758691617,7,0.4862661053295728,0
8,0.29073324819811347,0.5524125315834155,0.07654097124503371,0.10561446295900874,0.5842941105075377,8,0.5524125315834155,0
9,0.29833949220423794,0.48998559096602035,0.08029968513577834,0.10760955752295727,0.5503087983965815,8,0.5524125315834155,1
10,0.23503828332537696,0.4725795291106837,0.08271836015230197,0.112883113414944,0.5147092700825461,8,0.5524125315834155,2
11,0.24313058942353644,0.4321663469176335,0.09573526952225103,0.11962591598831115,0.5564910808554252,8,0.5524125315834155,3
12,0.23531639494863496,0.5079212634301342,0.07497886523098476,0.10114663264542896,0.54153916682074,8,0.5524125315834155,4
13,0.22492731347375985,0.4722310499250492,0.08509328416972048,0.10908204273786927,0.5519339489148284,8,0.5524125315834155,5
14,0.21220008167279822,0.5191733635027107,0.07688091031906236,0.10423494177536094,0.5657589328873255,8,0.5524125315834155,6
