domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,uniform,combined,task,65346,0.4974534665317052,0.7558534569828299,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
CR,uniform,combined,social,17295,0.055420758066787076,0.16050881757733448,"{""all"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}"
