dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.8462902547354825,0.05705277746857638,0.07347417621289011,0.8487226422953862
noxij,400748,0.7057651835397595,0.05405863317863702,0.0736080714690496,0.7169631157082573
