epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.43531633082015736,0.7680242117673146,0.10421758553633562,0.12587047093199052,0.8675594066005899,1,0.7680242117673146,0
2,0.20496164616300255,0.8850149271727968,0.0683934511099476,0.08889842702376868,0.898663421917331,2,0.8850149271727968,0
3,0.16982173063478417,0.868126111810863,0.07661878928322394,0.09538620356203989,0.9053654787628537,2,0.8850149271727968,1
4,0.16070631475738398,0.863185959958783,0.07161860297065696,0.08975144983712575,0.8843874956644745,2,0.8850149271727968,2
5,0.1444565416699615,0.8760006206424028,0.07514754230583304,0.09549922476368355,0.9018542675821055,2,0.8850149271727968,3
6,0.13323040677039005,0.8446450655545011,0.0790826817625106,0.10095158572737212,0.8900552235452636,2,0.8850149271727968,4
7,0.12436408463103996,0.8889801887182798,0.06790297052780447,0.08512457226876757,0.9029395121666403,7,0.8889801887182798,0
8,0.12264391302403824,0.9007825903911508,0.06298537993252007,0.081598173971861,0.9142391021811738,8,0.9007825903911508,0
9,0.11527584106224018,0.8698240483094379,0.07253440158038167,0.09141267237215497,0.9038858001357032,8,0.9007825903911508,1
10,0.11682815182933491,0.894707596864884,0.06507539476564887,0.08599031000219537,0.8985825150911818,8,0.9007825903911508,2
11,0.10218309055375789,0.9104631528121411,0.05582574303923239,0.07352907749977662,0.9127593798989266,11,0.9104631528121411,0
12,0.10560984950697883,0.8790740617916454,0.07201944373545015,0.08984874381566788,0.9045418752407478,11,0.9104631528121411,1
13,0.10193591371425607,0.9087069204061272,0.06142801858194198,0.07979621078922673,0.911783890048467,11,0.9104631528121411,2
14,0.09353901454098316,0.8903341970829266,0.0666020919918714,0.08407702207860265,0.9141160662662282,11,0.9104631528121411,3
15,0.09521063981135247,0.8857408384222398,0.06614286559201352,0.08455493874176205,0.8937827672437527,11,0.9104631528121411,4
16,0.09059482170731982,0.8771811242303037,0.06779853648946624,0.08767833484542462,0.8968523483400973,11,0.9104631528121411,5
17,0.09111719582620906,0.8809324042000524,0.06844943835204319,0.085855304973035,0.9036059765059705,11,0.9104631528121411,6
