domain_head_role,n_frames,accuracy,kappa
CC_social_purple,90804,0.5677503193691907,0.28741946796895995
CC_social_yellow,93812,0.5870997313776489,0.3168787767975361
CC_task_purple,104317,0.5336905777581794,0.27137026792680985
CC_task_yellow,111375,0.6422895622895622,0.40373120906411425
