domain,session_id,head,n_frames,accuracy,kappa
CC,005,task,3955,0.36713021491782555,-0.027087700032972676
CC,005,social,11212,0.19220478059222262,-0.048039376284826886
CC,010,task,28034,0.37632874366840263,0.1800149067893545
CC,010,social,18832,0.8149426508071368,0.3022190871172711
CC,017,task,16771,0.7286983483393954,0.16922447948558572
CC,017,social,19818,0.8936320516701988,0.22341473048329716
CC,036,task,25854,0.8243985456795854,0.4025804385505674
CC,036,social,9697,0.5618232443023615,0.37003768378432217
CC,038,task,49683,0.4474971318157116,0.22255928348350063
CC,038,social,36073,0.6210462118481967,0.2304977979249472
CC,046,task,20932,0.6880374546149436,0.4616327198779369
CC,046,social,22008,0.33674118502362776,0.1311916340682442
CC,065,task,70463,0.6391439478875438,0.4177035967756232
CC,065,social,66976,0.5398500955566173,0.23963956201291076
