domain,head,age_bin,gender,n_frames,accuracy,kappa
CC,social,6-7,1,60799,0.5526735637099295,0.15687703585586213
CC,social,6-7,2,107833,0.6357886732261924,0.3396828771470952
CC,social,<=5,1,4772,0.48512154233025984,0.3159052044059825
CC,social,<=5,2,11212,0.19220478059222262,-0.048039376284826886
CC,task,6-7,1,75025,0.506044651782739,0.29093518910601573
CC,task,6-7,2,126035,0.6132502876185186,0.35853007918669694
CC,task,<=5,1,10677,0.9833286503699541,0.9175682873342262
CC,task,<=5,2,3955,0.36713021491782555,-0.027087700032972676
