domain,head,class,support,precision,recall,f1,true_positive,false_positive
CC,task,0,124893,0.8056527039894634,0.724876494279103,0.7631330501045249,90532,21839
CC,task,1,19302,0.19643514165406156,0.24893793389286084,0.21959189269474214,4805,19656
CC,task,2,26642,0.30425452191981467,0.3352601156069364,0.31900569653029515,8932,20425
CC,task,3,44855,0.46338605741066197,0.5114034109909709,0.48621208588566944,22939,26564
CC,social,0,13381,0.3139463365879911,0.6103430236903071,0.41462114481533185,8167,17847
CC,social,1,13735,0.24612603305785125,0.1387695668001456,0.17747567391405558,1906,5838
CC,social,2,60794,0.6625400850175256,0.29226568411356385,0.4056065379171803,17768,9050
CC,social,3,2700,0.02476593174267593,0.03037037037037037,0.027283313924471805,82,3229
CC,social,4,94006,0.6519394677335189,0.8372657064442696,0.7330709944815703,78708,42021
