role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,200375,0.34960459183093673,0.07738391766381576,0.11114531628489992,0.35793804792856987
expert,1,200375,0.3844954532160092,0.06764325427354609,0.09470049852120388,0.38888717077622126
