component_idx,explained_variance_ratio,cumulative_explained_variance
1,0.4082712233066559,0.4082712233066559
2,0.09912095218896866,0.5073921754956245
3,0.0688185840845108,0.5762107595801353
4,0.04289252310991287,0.6191032826900482
5,0.034382060170173645,0.6534853428602219
6,0.03222145885229111,0.685706801712513
7,0.028898006305098534,0.7146048080176115
8,0.027566619217395782,0.7421714272350073
