domain,mode,feature,head,n_frames,kappa,accuracy,weights
CR,prob_shared,combined,task,65346,0.411045329551044,0.7443301808832982,"{""all"": [0.75, 0.25, 0.0]}"
CR,prob_shared,combined,social,17295,0.1286146493225542,0.34986990459670425,"{""all"": [0.75, 0.25, 0.0]}"
