role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,488942,0.9051061256339686,0.05925679344749903,0.07916949004040333,0.9051720325080373
expert,1,488942,0.8461481731546323,0.06474030151962666,0.08334847649811893,0.8591854071306347
