domain,role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
CR,purple,task,65346,0.2287771427081842,0.36023862524980443,0.651113010524521,0.6526336730633857
CR,purple,social,17295,-0.01823836141666026,0.017992847563701387,0.0049624679317060195,0.0465452442902573
CR,yellow,task,0,nan,nan,nan,nan
CR,yellow,social,0,nan,nan,nan,nan
