domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.41547449576048423,0.7670400636611269,"{""task"": [0.3852061927318573, 0.5617772936820984, 0.053016725927591324]}"
CR,metadata_router,combined,social,17295,0.05947836682437154,0.23723619543220584,"{""social"": [0.5723881125450134, 0.317658394575119, 0.10995365679264069]}"
