domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.24044385845311703,0.66674318244422,"{""task"": [0.020742403343319893, 0.8334118127822876, 0.14584556221961975]}"
CR,metadata_router,combined,social,17295,-0.03525063200943271,0.2202370627348945,"{""social"": [0.1909700334072113, 0.6115167140960693, 0.1975133866071701]}"
