dataset,n_frames,ccc,mae,rmse,pearson
noxi,577136,0.8132710729248025,0.06998088231011122,0.09041161997993617,0.8231108728884243
noxij,400748,0.5648465507617425,0.06469918929925172,0.09083015459335765,0.5696067051766639
