mode,feature_kind,class_weight,train_rows,train_positive,fit_rows,fit_positive,val_rows,val_positive,average_precision,roc_auc,best_f1,best_precision,best_recall,best_threshold,best_predicted_positive,best_tp,best_fp,best_fn
logits_none,logits,none,384143,712,50712,712,17295,1452,0.07044260110434081,0.4449239689939627,0.15791555982591984,0.08601687088233483,0.9621212121212122,4.76299914091575e-09,16241,1397,14844,55
logits_balanced,logits,balanced,384143,712,50712,712,17295,1452,0.06501744656888812,0.4020195412665847,0.15490478476556252,0.08395490026019081,1.0,5.256455658945191e-12,17295,1452,15843,0
probs_balanced,probs,balanced,384143,712,50712,712,17295,1452,0.06232371807895846,0.3763605655981412,0.1825302468704105,0.10158013544018059,0.8987603305785123,2.1281235740283003e-10,12847,1305,11542,147
probs_none,probs,none,384143,712,50712,712,17295,1452,0.061024312631370634,0.36452377313267986,0.17728089439009784,0.09812154696132597,0.9173553719008265,4.663792465786235e-06,13575,1332,12243,120
logits_probs_balanced,logits_probs,balanced,384143,712,50712,712,17295,1452,0.0576718815074212,0.3320724241606994,0.16128664309341847,0.0879243875139908,0.9738292011019284,2.767085155831338e-17,16082,1414,14668,38
logits_probs_none,logits_probs,none,384143,712,50712,712,17295,1452,0.05478174942013872,0.29911020831301083,0.15568862275449102,0.08446005267778753,0.993801652892562,1.3517279359335387e-13,17085,1443,15642,9
