role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
purple,task,65346,0.23024124463536574,0.4018638018846858,0.6650048866787188,0.6638661892082147
purple,social,17295,-0.03868089328963569,0.02010552046317799,0.026176745597061762,0.04614050303555941
yellow,task,0,nan,nan,nan,nan
yellow,social,0,nan,nan,nan,nan
