run,target_subset,mode,param,frames,canonical_frames,numbered_blank_frames,soft_kappa,confidence_weighted_soft_kappa,pred_flip_rate
cr_task,numbered_blank,hmm,mix=0.75;strength=8;alpha=1,67211,0,67211,0.07775286159693946,0.0784394336704198,0.0016516382465851264
cr_task,augmented,hmm,mix=0.75;strength=8;alpha=1,132557,65346,67211,0.2608036937146447,0.34438715098747374,0.0012221618685497012
cr_task,canonical,hmm,mix=0.75;strength=12;alpha=1,65346,65346,0,0.5590719332582896,0.5590719332582896,0.0011019115103839856
cr_task,numbered_blank,hmm,mix=0.75;strength=12;alpha=1,67211,0,67211,0.07608779541667332,0.07678934434799758,0.0013391661458798322
cr_task,augmented,hmm,mix=0.75;strength=12;alpha=1,132557,65346,67211,0.2595583335961092,0.3433072271803781,0.0009203935059448367
cr_task,canonical,hmm,mix=1;strength=0.25;alpha=1,65346,65346,0,0.5160311602747217,0.5160311602747217,0.0047290368987312715
cr_task,numbered_blank,hmm,mix=1;strength=0.25;alpha=1,67211,0,67211,0.07941799653526113,0.08002204769363651,0.004315090914501682
cr_task,augmented,hmm,mix=1;strength=0.25;alpha=1,132557,65346,67211,0.24778839711846118,0.3235959738130168,0.004134226567686644
cr_task,canonical,hmm,mix=1;strength=0.5;alpha=1,65346,65346,0,0.518571291125902,0.518571291125902,0.0036118210618141747
cr_task,numbered_blank,hmm,mix=1;strength=0.5;alpha=1,67211,0,67211,0.07968442723905976,0.08029379291757535,0.0033925542362289083
cr_task,augmented,hmm,mix=1;strength=0.5;alpha=1,132557,65346,67211,0.24834249507229925,0.3246266540891503,0.003115758343895226
cr_task,canonical,hmm,mix=1;strength=1;alpha=1,65346,65346,0,0.5331821673708917,0.5331821673708917,0.0024639965718308565
cr_task,numbered_blank,hmm,mix=1;strength=1;alpha=1,67211,0,67211,0.07773781088324148,0.07838350009678285,0.0023956194387405884
cr_task,augmented,hmm,mix=1;strength=1;alpha=1,132557,65346,67211,0.25225711049243515,0.33143051053914757,0.002067113283843322
cr_task,canonical,hmm,mix=1;strength=2;alpha=1,65346,65346,0,0.5553397975922779,0.5553397975922779,0.0016375629390428675
cr_task,numbered_blank,hmm,mix=1;strength=2;alpha=1,67211,0,67211,0.07911252377193356,0.07977854906805626,0.0017706752373300003
cr_task,augmented,hmm,mix=1;strength=2;alpha=1,132557,65346,67211,0.2606548792477123,0.34339099730199046,0.001365501840787012
cr_task,canonical,hmm,mix=1;strength=4;alpha=1,65346,65346,0,0.5468289332505064,0.5468289332505064,0.00101008555118532
cr_task,numbered_blank,hmm,mix=1;strength=4;alpha=1,67211,0,67211,0.07461574488294596,0.07532192685639423,0.001264768026664286
cr_task,augmented,hmm,mix=1;strength=4;alpha=1,132557,65346,67211,0.253448017900336,0.3354133215325464,0.000837407206228499
cr_task,canonical,hmm,mix=1;strength=8;alpha=1,65346,65346,0,0.5807377895625361,0.5807377895625361,0.0006427817143906582
cr_task,numbered_blank,hmm,mix=1;strength=8;alpha=1,67211,0,67211,0.07814599787279125,0.08170912924952708,0.0008034996875278992
cr_task,augmented,hmm,mix=1;strength=8;alpha=1,132557,65346,67211,0.2668181885378203,0.35529174838651056,0.0004752851711026616
cr_task,canonical,hmm,mix=1;strength=12;alpha=1,65346,65346,0,0.5984796517681452,0.5984796517681452,0.0004591297959933273
cr_task,numbered_blank,hmm,mix=1;strength=12;alpha=1,67211,0,67211,0.06012079437535524,0.0638096579744049,0.0005059072106657144
cr_task,augmented,hmm,mix=1;strength=12;alpha=1,132557,65346,67211,0.2616846363602207,0.356465709842711,0.00029422415353974287
cr_social,canonical,raw,none,17295,17295,0,0.4624707275391685,0.4624707275391685,0.03117228616043028
cr_social,numbered_blank,raw,none,115262,0,115262,0.051443077802221286,0.05088306371459668,0.02769463026106874
cr_social,augmented,raw,none,132557,17295,115262,0.09471641515582013,0.12938175819446177,0.028049369304122156
cr_social,canonical,hmm,mix=0.5;strength=0.25;alpha=1,17295,17295,0,0.46783073271354014,0.46783073271354014,0.010930541900410618
cr_social,numbered_blank,hmm,mix=0.5;strength=0.25;alpha=1,115262,0,115262,0.05197132559158198,0.05138454688970805,0.011287817659664922
cr_social,augmented,hmm,mix=0.5;strength=0.25;alpha=1,132557,17295,115262,0.09572291431457634,0.13075553158977135,0.011142796789184622
cr_social,canonical,hmm,mix=0.5;strength=0.5;alpha=1,17295,17295,0,0.4749123856865675,0.4749123856865675,0.008096697704007866
cr_social,numbered_blank,hmm,mix=0.5;strength=0.5;alpha=1,115262,0,115262,0.05207586961874522,0.051485725323367704,0.009656680288398969
cr_social,augmented,hmm,mix=0.5;strength=0.5;alpha=1,132557,17295,115262,0.09652311675864378,0.13211093559547504,0.0093548192407508
cr_social,canonical,hmm,mix=0.5;strength=1;alpha=1,17295,17295,0,0.47916396906392017,0.47916396906392017,0.006246023943091782
cr_social,numbered_blank,hmm,mix=0.5;strength=1;alpha=1,115262,0,115262,0.052618396843752475,0.052039298751834356,0.00819906816939535
cr_social,augmented,hmm,mix=0.5;strength=1;alpha=1,132557,17295,115262,0.09756498144734979,0.13353138592807906,0.007845977427726478
cr_social,canonical,hmm,mix=0.5;strength=2;alpha=1,17295,17295,0,0.484382877479633,0.484382877479633,0.005725521947834133
cr_social,numbered_blank,hmm,mix=0.5;strength=2;alpha=1,115262,0,115262,0.05450488188650532,0.05391770841989612,0.006498520697224464
cr_social,augmented,hmm,mix=0.5;strength=2;alpha=1,132557,17295,115262,0.09974960268992436,0.13597121550719152,0.0062994145693765465
cr_social,canonical,hmm,mix=0.5;strength=4;alpha=1,17295,17295,0,0.4940064920996221,0.4940064920996221,0.004684517957318836
cr_social,numbered_blank,hmm,mix=0.5;strength=4;alpha=1,115262,0,115262,0.05617347065800974,0.055566969832752396,0.004728563124148642
cr_social,augmented,hmm,mix=0.5;strength=4;alpha=1,132557,17295,115262,0.10168613009301557,0.1382725616061598,0.004624600156919549
cr_social,canonical,hmm,mix=0.5;strength=8;alpha=1,17295,17295,0,0.5130120694963379,0.5130120694963379,0.003238679081603146
cr_social,numbered_blank,hmm,mix=0.5;strength=8;alpha=1,115262,0,115262,0.05942986631117926,0.05880672169629159,0.003487857570472943
