role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,288576,0.6276770071849624,0.06081796535550398,0.0823250510280395,0.6304294877544779
expert,1,288576,0.7852273897717381,0.06727227633069863,0.08666230105607509,0.7892427053227437
