role,n_frames,ccc,mae,rmse,pearson
expert,325778,0.01863923422724679,0.34321726130011576,0.43040784247865604,0.028200331040165838
novice,325778,-0.04459150271377735,0.3528639506633062,0.44488878243504915,-0.06286122485682964
