role,head,n_frames,kappa,macro_f1,weighted_f1,accuracy
purple,task,104317,0.2629492874932677,0.34492157328455403,0.5305203726198134,0.5451556313927739
purple,social,90804,-0.04530314764073978,0.06980929746828186,0.08668631851819156,0.10388308885071142
yellow,task,111375,0.47796955514014117,0.4322279730222748,0.6678019118835787,0.6741010101010101
yellow,social,93812,-0.06736824426401518,0.08787527700951296,0.195231945005119,0.17928410011512386
