domain,mode,feature,head,n_frames,kappa,accuracy,mean_val_weights
CR,metadata_router,combined,task,65346,0.41886865565039444,0.7014507391424112,"{""task"": [0.5817282199859619, 0.41755932569503784, 0.0007124008261598647]}"
CR,metadata_router,combined,social,17295,0.37334056505298646,0.5751951431049436,"{""social"": [0.6282308101654053, 0.36511608958244324, 0.006653266958892345]}"
