run,head,mode,param,target_subset,n_frames,soft_kappa,confidence_weighted_soft_kappa,soft_nll,confidence_weighted_soft_nll
cc_task_shared_linear,task,hmm,mix=0.75;strength=0.5;alpha=1.0,canonical,215692,0.3868649434507784,0.3868649434507784,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=0.75;strength=0.5;alpha=1.0,numbered_blank,347820,0.10018469608102785,0.0938989028410886,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=0.75;strength=0.5;alpha=1.0,augmented,563512,0.20751466163810323,0.24817031721487168,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=0.75;strength=1.0;alpha=1.0,canonical,215692,0.3890983012362664,0.3890983012362664,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=0.75;strength=1.0;alpha=1.0,numbered_blank,347820,0.10080483799371728,0.09458178651887128,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=0.75;strength=1.0;alpha=1.0,augmented,563512,0.20877387813352494,0.24968388537129052,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=0.75;strength=2.0;alpha=1.0,canonical,215692,0.39671892948811166,0.39671892948811166,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=0.75;strength=2.0;alpha=1.0,numbered_blank,347820,0.10097485293708582,0.09456896694045376,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=0.75;strength=2.0;alpha=1.0,augmented,563512,0.21151575256475746,0.2534372972159446,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=0.75;strength=4.0;alpha=1.0,canonical,215692,0.40300233879561564,0.40300233879561564,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=0.75;strength=4.0;alpha=1.0,numbered_blank,347820,0.1023868114995826,0.09553628151167164,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=0.75;strength=4.0;alpha=1.0,augmented,563512,0.2144999613588962,0.2568849665710969,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=0.75;strength=8.0;alpha=1.0,canonical,215692,0.41640559393232324,0.41640559393232324,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=0.75;strength=8.0;alpha=1.0,numbered_blank,347820,0.10162353947936206,0.09429441275215919,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=0.75;strength=8.0;alpha=1.0,augmented,563512,0.2186676371020351,0.2628548729071106,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=0.75;strength=12.0;alpha=1.0,canonical,215692,0.41681565138395976,0.41681565138395976,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=0.75;strength=12.0;alpha=1.0,numbered_blank,347820,0.10247698715035135,0.0947123981401481,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=0.75;strength=12.0;alpha=1.0,augmented,563512,0.21919710223724767,0.2631048404433785,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=0.25;alpha=1.0,canonical,215692,0.38885780587386715,0.38885780587386715,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=0.25;alpha=1.0,numbered_blank,347820,0.10096604684662325,0.09472685680303321,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=1.0;strength=0.25;alpha=1.0,augmented,563512,0.2087968730092117,0.249639458499477,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=0.5;alpha=1.0,canonical,215692,0.39601327860881497,0.39601327860881497,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=0.5;alpha=1.0,numbered_blank,347820,0.1009152433214964,0.09454136541781613,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=1.0;strength=0.5;alpha=1.0,augmented,563512,0.21127188904365646,0.25310243869572757,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=1.0;alpha=1.0,canonical,215692,0.40203047508212686,0.40203047508212686,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=1.0;alpha=1.0,numbered_blank,347820,0.10184771567203015,0.09489271068346812,1.9647724379648914,1.9962521768858994
