scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CC,hmm_uniform_start,mix=1;strength=12;alpha=1,mean,400308,0.6314606481887735,0.4336828262920617,28,400280,236,368,0.0005895872888977715,0.0009193564504846607,1.5593220338983051
CC,hmm_uniform_start,mix=1;strength=8;alpha=1,mean,400308,0.6214999575580172,0.4239226758408702,28,400280,236,501,0.0005895872888977715,0.001251623863295693,2.1228813559322033
CC,hmm_uniform_start,mix=1;strength=4;alpha=1,mean,400308,0.6103497118568754,0.40831063673295254,28,400280,236,804,0.0005895872888977715,0.0020085939842110524,3.406779661016949
CC,hmm_uniform_start,mix=0.75;strength=12;alpha=1,mean,400308,0.6096300061265557,0.40690165719092514,28,400280,236,830,0.0005895872888977715,0.002073548516038773,3.516949152542373
CC,hmm_uniform_start,mix=0.75;strength=8;alpha=1,mean,400308,0.6051152782783691,0.40098590547188295,28,400280,236,1096,0.0005895872888977715,0.0027380833416608373,4.6440677966101696
CC,hmm_uniform_start,mix=0.5;strength=12;alpha=1,mean,400308,0.6048131627759227,0.4005384049630907,28,400280,236,1138,0.0005895872888977715,0.0028430098930748477,4.822033898305085
CC,hmm_uniform_start,mix=1;strength=2;alpha=1,mean,400308,0.6016251287564788,0.39664786823486353,28,400280,236,1273,0.0005895872888977715,0.003180273808334166,5.3940677966101696
CC,hmm_uniform_start,mix=0.5;strength=8;alpha=1,mean,400308,0.5999012430935635,0.39495220761446226,28,400280,236,1441,0.0005895872888977715,0.003599980013990207,6.1059322033898304
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,mean,400308,0.5962471282741812,0.38984081107708657,28,400280,236,1612,0.0005895872888977715,0.0040271809733186765,6.830508474576271
CC,hmm_uniform_start,mix=0.75;strength=4;alpha=1,mean,400308,0.5945982670568926,0.3879469205467934,28,400280,236,1632,0.0005895872888977715,0.004077145997801539,6.915254237288136
CC,hmm_uniform_start,mix=1;strength=1;alpha=1,mean,400308,0.5923151599133414,0.38492230834569774,28,400280,236,1821,0.0005895872888977715,0.004549315479164585,7.716101694915254
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,mean,400308,0.5905896287034569,0.3829293694635405,28,400280,236,1975,0.0005895872888977715,0.004934046167682622,8.36864406779661
CC,hmm_uniform_start,mix=0.5;strength=4;alpha=1,mean,400308,0.588975313374885,0.38075536048853165,28,400280,236,2063,0.0005895872888977715,0.005153892275407215,8.741525423728813
