component_idx,explained_variance_ratio,cumulative_explained_variance
1,0.41068875789642334,0.41068875789642334
2,0.13427144289016724,0.5449602007865906
3,0.0930013656616211,0.6379615664482117
4,0.045673977583646774,0.6836355440318584
5,0.03595452010631561,0.7195900641381741
6,0.029450390487909317,0.7490404546260834
7,0.02421439252793789,0.7732548471540213
8,0.01821914315223694,0.7914739903062582
