epoch,train_loss,val_ccc,val_mae,val_rmse,val_pearson,best_epoch,best_val_ccc,stale_epochs
1,0.34955903476298744,0.7708719564655018,0.11615562069226738,0.14425473008884915,0.8491138286460594,1,0.7708719564655018,0
2,0.1976696990096747,0.8381840930426554,0.0851613769392304,0.10374564661948574,0.8853234553689083,2,0.8381840930426554,0
3,0.1673482460762138,0.8717611417250398,0.07004776301551709,0.09053720050581823,0.893217709815409,3,0.8717611417250398,0
4,0.14760071428409263,0.8789334505272995,0.06809922436603578,0.09081008995390413,0.8822286744717108,4,0.8789334505272995,0
5,0.13109634683203342,0.8578428224140738,0.07558902449974624,0.09522524421187818,0.8835837624739273,4,0.8789334505272995,1
6,0.12721831229195665,0.8503369357744597,0.08010717823155741,0.10136089412914688,0.8787441328095251,4,0.8789334505272995,2
7,0.12041373862259423,0.8504350572680932,0.08221675711914049,0.10428889424767021,0.8850233837015196,4,0.8789334505272995,3
8,0.11551100071241606,0.8575816192938538,0.07055387882174918,0.08964256351867994,0.8946995692341105,4,0.8789334505272995,4
9,0.11193181418660861,0.8522512004761079,0.0747411041295242,0.10266438962942069,0.8661286278428219,4,0.8789334505272995,5
10,0.10770839730750269,0.8814388746297256,0.06440204482267875,0.08726475987847608,0.8825726154756758,10,0.8814388746297256,0
11,0.10045485376422085,0.8814605248628853,0.0611082962641971,0.08532324100001848,0.8854189632792054,10,0.8814388746297256,1
12,0.09764592571934658,0.8540480703698614,0.07723020901065863,0.09808986310535478,0.8929312859878874,10,0.8814388746297256,2
13,0.0927824473647929,0.8642367071607032,0.06934134337413465,0.09155715650210129,0.8841326567418034,10,0.8814388746297256,3
14,0.08754230379613477,0.8575680073489647,0.06810575105482645,0.0898927829902992,0.8708842116103043,10,0.8814388746297256,4
15,0.08600088220034073,0.886996555845561,0.06154628290101488,0.08303798049601044,0.8897003840228576,15,0.886996555845561,0
16,0.08472293670942534,0.8692710752868953,0.06823398242492165,0.0925689040216173,0.8693762302768464,15,0.886996555845561,1
17,0.08515822787338229,0.8613061641014041,0.06968526305541528,0.09228270440279948,0.8734663396023892,15,0.886996555845561,2
18,0.08439045799757118,0.8646204405992206,0.06625401131954245,0.0866404770353081,0.8844021396027079,15,0.886996555845561,3
19,0.08150202947766033,0.8653327920068858,0.06958417073792207,0.09264541860070474,0.8720754664174987,15,0.886996555845561,4
20,0.07619709532652329,0.859456685914323,0.07217658719652462,0.09450300932352453,0.879601206057719,15,0.886996555845561,5
21,0.07732892870458204,0.8748876102317066,0.06512972212339022,0.08876886698272915,0.8793187173154142,15,0.886996555845561,6
