role,target_channel,n_frames,ccc,mae,rmse,pearson
novice,0,325778,0.057707021429244734,0.5221369969985767,0.6270023475379338,0.15924288163113967
expert,1,325778,-0.0012544756329900303,1.2925472755903897,1.389440351746199,-0.015879380139867973
